temp;wind;rh;precip;fire
11,3212;19,4561;54,2547;0,0298;0
9,5944;19,0946;48,3668;0,0196;0
13,2574;13,4098;34,3027;0,0247;0
14,6349;21,4795;36,1859;0,0198;1
16,0021;26,018;38,8698;0,2722;1
13,5391;19,965;51,3608;0,4138;1
13,7369;10,936;47,0282;0,4468;0
14,7543;12,2861;43,0348;0,2588;0
15,1999;11,5302;38,8229;0,3982;0
15,5261;10,0355;34,3435;0,6796;0
14,4006;9,1359;41,3301;1,0446;0
12,9169;16,8695;49,113;0,6882;0
11,1409;24,6396;41,5011;0,0253;1
11,6748;19,0154;32,6498;0,2238;1
12,3577;20,3202;45,7125;0,0707;1
13,711;19,2323;38,7044;3,8234;0
10,64;12,7155;57,5814;0,2995;0
13,5786;18,7408;47,4633;0,1455;0
6,1276;22,6663;46,882;0,9547;0
12,3007;14,6706;35,889;0,0599;0
12,9706;22,4102;46,9243;0,4732;1
14,4998;21,4011;55,5484;0,5504;1
16,4265;15,8717;45,3882;7,2899;0
11,9866;14,5096;59,4841;1,7089;0
12,5115;17,2233;54,6899;6,4049;0
7,5862;24,2561;59,3107;2,6657;0
5,5311;23,9499;47,7195;0,2286;0
10,1675;12,7992;41,03;0,0241;0
11,6313;25,6427;53,6677;1,3535;0
10,5699;19,4714;52,5552;0,0892;0
10,7087;14,3042;51,3125;2,8861;0
7,4777;14,62;86,06;2,1026;0
8,6099;14,4684;77,0641;1,9191;0
9,7716;18,6023;67,0023;9,0176;0
7,375;18,6946;61,3917;1,8817;0
7,9584;13,2973;64,8699;0,0663;0
10,7589;19,716;53,1063;1,2071;0
10,4569;18,4994;58,0173;4,4116;0
11,3545;19,4525;58,477;0,5718;0
12,1596;23,761;60,0424;2,8322;0
12,2456;20,1188;58,4707;15,8521;0
16,1914;28,5392;44,2019;3,1833;0
11,322;17,6634;62,2828;8,1052;0
17,8012;15,0234;40,7569;0,0389;0
21,4594;14,0372;36,9723;0,0018;0
21,8654;16,1255;39,1911;0,0012;0
21,0624;14,3327;38,7481;0,0006;1
21,2738;9,7547;33,2459;0,3052;1
21,7548;10,4612;36,435;0,7755;0
21,8454;10,3834;37,711;5,923;0
19,9902;10,9375;44,1143;6,7505;0
18,0044;13,5956;44,1268;0,1632;0
17,9482;17,6546;40,2274;0,0196;1
